name	phys. width	phys. height	CSS width	CSS height	pixel ratio	phys. ppi	CSS ppi
Apple iPad Pro 12.9	2048	2732	1024	1366	2	265	192
Apple iPad Pro 11	1668	2388	834	1194	2	264	192
Apple iPad Pro 10.5	1668	2224	834	1112	2	264	192
Apple iPad Pro 9.7	1536	2048	768	1024	2	264	192
Apple iPad Air	1640	2360	820	1180	2	264	192
Apple iPad	1620	2160	810	1080	2	264	192
Apple iPad mini	1536	2048	768	1024	2	326	192
Samsung Galaxy Tab 3 10″	800	1280	800	1280	1	149	96
Samsung Galaxy Tab 2 10″	800	1280	800	1280	1	149	96
Samsung Galaxy Tab (8.9″)	800	1280	800	1280	1	170	96
Samsung Galaxy Tab 2 (7″)	600	1024	600	1024	1	170	96
Samsung Nexus 10	1600	2560	800	1280	2	300	192
HTC Nexus 9	1538	2048	768	1024	2	281	192
Asus Nexus 7 (v2)	1080	1920	600	960	2	323	192
Asus Nexus 7 (v1)	800	1280	604	966	1.325	216	127
LG G Pad 8.3	1200	1920	600	960	2	273	192
Amazon Kindle Fire HD 8.9	1200	1920	800	1280	1.5	254	144
Amazon Kindle Fire HD 7	800	1280	480	800	1.5	216	144
Amazon Kindle Fire	600	1024	600	1024	1	167	96
Microsoft Surface Pro 3	1440	2160	1024	1440	1.5 / 1.4	216	144
Microsoft Surface Pro 2	1080	1920	720	1280	1.5	207	144
Microsoft Surface Pro	1080	1920	720	1280	1.5	207	144
Microsoft Surface	768	1366	768	1366	1	148	96
Blackberry Playbook	600	1024	600	1024	1	169	96
